source_collection,service_group,file_count,status
sse-cboms,ADC,1,present
sse-cboms,ANDROID-NO_CBOM,0,historical-no-data
sse-cboms,APIX,2,present
sse-cboms,App-Control,2,present
sse-cboms,Avengers,1,present
sse-cboms,BRAIN,97,present
sse-cboms,CNHE,9,present
sse-cboms,CONTRAAST,46,present
sse-cboms,DATA-PLATFORM,20,present
sse-cboms,Discovery,8,present
sse-cboms,DISTHOST,4,present
sse-cboms,DLP,7,present
sse-cboms,DNS-PLATFORM,1,present
sse-cboms,Download Service,1,present
sse-cboms,DW_VOLT,6,present
sse-cboms,FIS/SMA Threatgrid,11,present
sse-cboms,FROUTER,2,present
sse-cboms,IDENTITY-APPS,6,present
sse-cboms,IDENTITY-CORE,13,present
sse-cboms,IOS-NO_CBOM,0,historical-no-data
sse-cboms,KNEX,31,present
sse-cboms,LANDERS,12,present
sse-cboms,METERING,2,present
sse-cboms,OPC,7,present
sse-cboms,OVD-APP-Discovery,19,present
sse-cboms,PAC-cbom,6,present
sse-cboms,REPORTING,19,present
sse-cboms,RSM-SECURE_CLIENT-NO_CBOM,0,historical-no-data
sse-cboms,SAASAPI,27,present
sse-cboms,SCC-Backend,1,present
sse-cboms,SFCN-FIREWALL,60,present
sse-cboms,SFCN-RAVPN,26,present
sse-cboms,SWG-PROXY,5,present
sse-cboms,SWG-ROAMING-CLIENT-NO_CBOM,0,historical-no-data
sse-cboms,TAAC-cbom,5,present
sse-cboms,UNIFIED-POLICY,7,present
sse-cboms,VA,1,present
sse-cboms,ZTA-BAP,18,present
sse-cboms,ZTA-CALP,51,present
